@relation wirelessdata

@attribute windowsize {20,30,40,50,60}
@attribute packetsize real
@attribute pdr real
@attribute pckdropped real
@attribute avgthrput real
@attribute etedelay real

@data
20,1000,0.963728,251,1209.56,22.9817
20,1010,0.974506,168,1162.56,28.0714
20,1020,0.971706,218,1126.99,30.3915
20,1030,0.958193,272,1053.91,32.3363
20,1040,0.95273,17,131.501,59.496
20,1050,0.972488,170,46.355,968.618
20,1060,0.961158,245,59.3652,946.528
20,1070,0.963087,251,39.6188,959.218
20,1080,0.981772,93,929.51,72.7505
20,1090,0.9809,84,63.1461,1047.13
30,1000,0.978753,93,1210.89,36.7616
30,1010,0.968878,195,1091.83,30.3159
30,1020,0.972408,203,1111.73,36.1649
30,1030,0.949435,285,797.963,59.6258
30,1040,0.911929,19,80.0064,86.0233
30,1050,0.967373,237,1038.9,65.1736
30,1060,0.969405,175,1000.03,75.7588
30,1070,0.971868,181,82.5897,955.488
30,1080,0.982546,89,939.187,115.276
30,1090,0.975528,94,76.6061,1036.86
40,1000,0.974135,132,1217.22,33.627
40,1010,0.972736,155,38.9769,1180.37
40,1020,0.955361,49,58.9407,218.106
40,1030,0.828265,61,51.8736,81.934
40,1040,0.941332,52,134.957,129.252
40,1050,0.839604,12,47.088,121.766
40,1060,0.925883,109,241.296,68.2051
40,1070,0.976557,125,966.499,92.3146
40,1080,0.969621,200,953.165,110.703
40,1090,0.981422,101,93.1572,1079.2
50,1000,0.970126,169,1213.06,32.4715
50,1010,0.966819,187,1178.35,35.7462
50,1020,0.818985,26,40.1952,30.1965
50,1030,0.964242,221,1079.07,65.332
50,1040,0.968495,214,1054.25,82.0853
50,1050,0.947918,396,1014.83,51.3609
50,1060,0.95329,334,900.416,63.5357
50,1070,0.965585,245,975.557,93.9863
50,1080,0.984182,104,933.274,166.392
50,1090,0.961131,244,1078.65,66.3275
60,1000,0.959231,292,1217.22,29.7197
60,1010,0.968638,134,1184.06,35.5626
60,1020,0.818985,26,40.1952,30.1965
60,1030,0.972004,182,1101.33,79.1495
60,1040,0.98056,135,1071.71,179.489
60,1050,0.945803,386,948.038,136.042
60,1060,0.948985,336,957.792,90.3079
60,1070,0.955717,326,975.379,73.1248
60,1080,0.958849,298,959.795,99.6974
60,1090,0.963476,193,1088.33,172.119
